研究對象編號,序列編號,事件
1,1,U 空閒
1,2,S 一人
1,3,P 各自
1,4,T 兩人
1,5,P 各自
1,6,T 兩人
1,7,P 各自
1,8,G 團體
1,9,T 兩人
1,10,P 各自
1,11,T 兩人
1,12,G 團體
1,13,T 兩人
1,14,P 各自
1,15,G 團體
1,16,T 兩人
1,17,G 團體
1,18,P 各自
1,19,T 兩人
1,20,P 各自
1,21,G 團體
1,22,T 兩人
1,23,G 團體
1,24,P 各自
1,25,S 一人
1,26,T 兩人
1,27,P 各自
1,28,T 兩人
1,29,G 團體
1,30,T 兩人
1,31,S 一人
1,32,P 各自
1,33,G 團體
1,34,P 各自
1,35,S 一人
1,36,U 空閒
1,37,S 一人
1,38,T 兩人
1,39,P 各自
1,40,T 兩人
1,41,G 團體
1,42,T 兩人
1,43,U 空閒
1,44,T 兩人
1,45,S 一人
1,46,P 各自
1,47,G 團體
1,48,P 各自
1,49,S 一人
1,50,G 團體
1,51,T 兩人
1,52,P 各自
1,53,T 兩人
1,54,G 團體
1,55,P 各自
1,56,G 團體
1,57,S 一人
1,58,U 空閒
1,59,S 一人
1,60,T 兩人
1,61,U 空閒
1,62,T 兩人
1,63,S 一人
1,64,P 各自
1,65,S 一人
1,66,G 團體
1,67,T 兩人
1,68,P 各自
1,69,T 兩人
1,70,G 團體
1,71,P 各自
1,72,G 團體
1,73,S 一人
1,74,U 空閒
1,75,S 一人
1,76,T 兩人
1,77,U 空閒
1,78,T 兩人
1,79,S 一人
1,80,P 各自
1,81,S 一人
1,82,G 團體
1,83,T 兩人
1,84,P 各自
1,85,T 兩人
1,86,G 團體
1,87,P 各自
1,88,G 團體
1,89,U 空閒
1,90,S 一人
1,91,U 空閒
1,92,T 兩人
1,93,U 空閒
1,94,P 各自
1,95,U 空閒
1,96,G 團體
1,97,S 一人
1,98,T 兩人
1,99,S 一人
1,100,P 各自
1,101,S 一人
1,102,G 團體
1,103,T 兩人
1,104,P 各自
1,105,T 兩人
1,106,G 團體
1,107,P 各自
1,108,G 團體
1,109,U 空閒
1,110,S 一人
1,111,U 空閒
1,112,T 兩人
1,113,U 空閒
1,114,P 各自
1,115,U 空閒
1,116,G 團體
1,117,S 一人
1,118,T 兩人
1,119,S 一人
1,120,P 各自
1,121,S 一人
1,122,G 團體
1,123,T 兩人
1,124,P 各自
1,125,T 兩人
1,126,G 團體
1,127,P 各自
1,128,G 團體
