研究對象編號,序列編號,事件
1,128,G
1,127,P
1,126,G
1,125,T
1,124,P
1,123,T
1,122,G
1,121,S
1,120,P
1,119,S
1,118,T
1,117,S
1,116,G
1,115,U
1,114,P
1,113,U
1,112,T
1,111,U
1,110,S
1,109,U
1,108,G
1,107,P
1,106,G
1,105,T
1,104,P
1,103,T
1,102,G
1,101,S
1,100,P
1,99,S
1,98,T
1,97,S
1,96,G
1,95,U
1,94,P
1,93,U
1,92,T
1,91,U
1,90,S
1,89,U
1,88,G
1,87,P
1,86,G
1,85,T
1,84,P
1,83,T
1,82,G
1,81,S
1,80,P
1,79,S
1,78,T
1,77,U
1,76,T
1,75,S
1,74,U
1,73,S
1,72,G
1,71,P
1,70,G
1,69,T
1,68,P
1,67,T
1,66,G
1,65,S
1,64,P
1,63,S
1,62,T
1,61,U
1,60,T
1,59,S
1,58,U
1,57,S
1,56,G
1,55,P
1,54,G
1,53,T
1,52,P
1,51,T
1,50,G
1,49,S
1,48,P
1,47,G
1,46,P
1,45,S
1,44,T
1,43,U
1,42,T
1,41,G
1,40,T
1,39,P
1,38,T
1,37,S
1,36,U
1,35,S
1,34,P
1,33,G
1,32,P
1,31,S
1,30,T
1,29,G
1,28,T
